County,CountCounty
Alamance,3
Avery,2
Bertie,3
Brunswick,7
Buncombe,3
Burke,2
Cabarrus,1
Caldwell,3
Camden,1
Carteret,3
Caswell,1
Catawba,4
Chatham,1
Cleveland,4
Columbus,1
Craven,3
Cumberland,5
Currituck,2
Dare,5
Davidson,5
Davie,1
Duplin,3
Durham,7
Edgecombe,2
Forsyth,2
Franklin,1
Gaston,3
Gates,2
Granville,1
Guilford,10
Halifax,4
Harnett,8
Henderson,2
Hertford,3
Hoke,2
Iredell,3
Johnston,2
Jones,2
Lee,3
Lenoir,1
Madison,2
Mecklenburg,22
Moore,2
Nash,6
New Hanover,13
Onslow,9
Orange,5
Pamlico,1
Pasquotank,2
Pender,2
Person,1
Pitt,5
Polk,1
Randolph,1
Richmond,1
Robeson,19
Rockingham,4
Rowan,1
Rutherford,1
Sampson,2
Scotland,4
Stokes,2
Surry,1
Swain,1
Union,5
Vance,1
Wake,18
Washington,2
Wayne,2
Wilkes,1
Wilson,1
